Total Timesteps: 10	 Episode Num: 1	 Reward: -50
Total Timesteps: 20	 Episode Num: 1	 Reward: -100
Total Timesteps: 30	 Episode Num: 1	 Reward: -150
Total Timesteps: 40	 Episode Num: 1	 Reward: -200
Total Timesteps: 50	 Episode Num: 1	 Reward: -250
Total Timesteps: 60	 Episode Num: 1	 Reward: -300
Total Timesteps: 70	 Episode Num: 1	 Reward: -350
Total Timesteps: 80	 Episode Num: 1	 Reward: -400
Total Timesteps: 90	 Episode Num: 1	 Reward: -450
Total Timesteps: 100	 Episode Num: 1	 Reward: -500
Total Timesteps: 110	 Episode Num: 1	 Reward: -550
Total Timesteps: 120	 Episode Num: 1	 Reward: -600
Total Timesteps: 130	 Episode Num: 1	 Reward: -650
Total Timesteps: 140	 Episode Num: 1	 Reward: -700
Total Timesteps: 150	 Episode Num: 1	 Reward: -750
Total Timesteps: 160	 Episode Num: 1	 Reward: -800
Total Timesteps: 170	 Episode Num: 1	 Reward: -850
Total Timesteps: 180	 Episode Num: 1	 Reward: -900
Total Timesteps: 190	 Episode Num: 1	 Reward: -950
Total Timesteps: 200	 Episode Num: 1	 Reward: -1000
Total Timesteps: 210	 Episode Num: 1	 Reward: -1050
Total Timesteps: 220	 Episode Num: 1	 Reward: -1100
Total Timesteps: 230	 Episode Num: 1	 Reward: -1150
Total Timesteps: 240	 Episode Num: 1	 Reward: -1200
Total Timesteps: 250	 Episode Num: 1	 Reward: -1250
Total Timesteps: 260	 Episode Num: 1	 Reward: -1300
Total Timesteps: 270	 Episode Num: 1	 Reward: -1350
Total Timesteps: 280	 Episode Num: 1	 Reward: -1400
Total Timesteps: 290	 Episode Num: 1	 Reward: -1450
Total Timesteps: 300	 Episode Num: 1	 Reward: -1500
Total Timesteps: 310	 Episode Num: 1	 Reward: -1550
Total Timesteps: 320	 Episode Num: 1	 Reward: -1600
Total Timesteps: 330	 Episode Num: 1	 Reward: -1650
Total Timesteps: 340	 Episode Num: 1	 Reward: -1700
Total Timesteps: 350	 Episode Num: 1	 Reward: -1750
Total Timesteps: 360	 Episode Num: 1	 Reward: -1800
Total Timesteps: 370	 Episode Num: 1	 Reward: -1850
Total Timesteps: 380	 Episode Num: 1	 Reward: -1900
Total Timesteps: 390	 Episode Num: 1	 Reward: -1950
Total Timesteps: 400	 Episode Num: 1	 Reward: -2000
Total Timesteps: 410	 Episode Num: 1	 Reward: -2050
Total Timesteps: 420	 Episode Num: 1	 Reward: -2100
Total Timesteps: 430	 Episode Num: 1	 Reward: -2150
Total Timesteps: 440	 Episode Num: 1	 Reward: -2200
Total Timesteps: 450	 Episode Num: 1	 Reward: -2250
Total Timesteps: 460	 Episode Num: 1	 Reward: -2300
Total Timesteps: 470	 Episode Num: 1	 Reward: -2350
Total Timesteps: 480	 Episode Num: 1	 Reward: -2400
Total Timesteps: 490	 Episode Num: 1	 Reward: -2450
Total Timesteps: 500	 Episode Num: 1	 Reward: -2500
Total Timesteps: 510	 Episode Num: 2	 Reward: 74
Total Timesteps: 520	 Episode Num: 2	 Reward: 58
Total Timesteps: 530	 Episode Num: 2	 Reward: 8
Total Timesteps: 540	 Episode Num: 2	 Reward: -42
Total Timesteps: 550	 Episode Num: 2	 Reward: -92
Total Timesteps: 560	 Episode Num: 2	 Reward: -142
Total Timesteps: 570	 Episode Num: 2	 Reward: -192
Total Timesteps: 580	 Episode Num: 2	 Reward: -242
Total Timesteps: 590	 Episode Num: 2	 Reward: -292
Total Timesteps: 600	 Episode Num: 2	 Reward: -342
Total Timesteps: 610	 Episode Num: 2	 Reward: -392
Total Timesteps: 620	 Episode Num: 2	 Reward: -442
Total Timesteps: 630	 Episode Num: 2	 Reward: -492
Total Timesteps: 640	 Episode Num: 2	 Reward: -542
Total Timesteps: 650	 Episode Num: 2	 Reward: -592
Total Timesteps: 660	 Episode Num: 2	 Reward: -642
Total Timesteps: 670	 Episode Num: 2	 Reward: -692
Total Timesteps: 680	 Episode Num: 2	 Reward: -742
Total Timesteps: 690	 Episode Num: 2	 Reward: -792
Total Timesteps: 700	 Episode Num: 2	 Reward: -842
Total Timesteps: 710	 Episode Num: 2	 Reward: -892
Total Timesteps: 720	 Episode Num: 2	 Reward: -942
Total Timesteps: 730	 Episode Num: 2	 Reward: -992
Total Timesteps: 740	 Episode Num: 2	 Reward: -1042
Total Timesteps: 750	 Episode Num: 2	 Reward: -1092
Total Timesteps: 760	 Episode Num: 2	 Reward: -1142
Total Timesteps: 770	 Episode Num: 2	 Reward: -1192
Total Timesteps: 780	 Episode Num: 2	 Reward: -1242
Total Timesteps: 790	 Episode Num: 2	 Reward: -1292
Total Timesteps: 800	 Episode Num: 2	 Reward: -1342
Total Timesteps: 810	 Episode Num: 2	 Reward: -1392
Total Timesteps: 820	 Episode Num: 2	 Reward: -1442
Total Timesteps: 830	 Episode Num: 2	 Reward: -1492
Total Timesteps: 840	 Episode Num: 2	 Reward: -1542
Total Timesteps: 850	 Episode Num: 2	 Reward: -1592
